Studienname,Uni/Hochschule,Stadt,Master-Info
Maschinenbau - Konstruktionstechnik,Berliner Hochschule für Technik (BHT), Berlin,Master of Engineering | 3 Semester (Vollzeit)
Maschinenbau - Produktionssysteme,Berliner Hochschule für Technik (BHT), Berlin,Master of Engineering | 3 Semester (Vollzeit)
Maschinenbau - Rechnerunterstützte Produkterstellung,Hochschule Albstadt-Sigmaringen, Albstadt,Master of Engineering | 3 Semester (Vollzeit)
Maschinenbau - Vertiefungsrichtungen Robotik und Leichtbau,Westfälische Hochschule, Bocholt,Master of Engineering | 4 Semester (Vollzeit)
Maschinenbau / Mechanical Engineering,Hochschule Offenburg, Offenburg,Master of Science | 3 Semester (Vollzeit)
Maschinenbau / Mechanical Engineering,Universität Stuttgart, Stuttgart,Master mit Georgia Tech | 4 Semester (Vollzeit)
Maschinenbau / Mechatronik,Hochschule Kaiserslautern, Kaiserslautern,Master of Engineering | 3 Semester (Vollzeit)
"Maschinenbau / Mikrotechnik, Gerätetechnik und Technische Optik",Universität Stuttgart, Stuttgart,Master of Science | 4 Semester (Vollzeit)
Maschinenbau / Produktentwicklung und Konstruktionstechnik,Universität Stuttgart, Stuttgart,Master of Science | 4 Semester (Vollzeit)
Maschinenbau Entwicklung und Produktion,Hochschule Stralsund, Stralsund,Master of Engineering (M. Eng.) | 3 Semester (Vollzeit)
Maschinenbau Fahrzeugtechnik,Hochschule Stralsund, Stralsund,Master of Engineering (M. Eng.) | 3 Semester (Vollzeit)
Maschinenbau in Teilzeit,Fachhochschule Münster, Steinfurt,"Master of Science | 6 Semester (berufsbegleitend, Teilzeit)"
Maschinenbau Mechatronik,Technische Hochschule Mittelhessen - Campus Friedberg, Friedberg,"Master of Science | 3 Semester (Vollzeit, dual)"
Maschinenbau mit angewandter Informatik,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau (RPTU), Kaiserslautern,Master of Science | 3 Semester (Vollzeit)
Maschinenbau mit BWL,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau (RPTU), Kaiserslautern,Master of Science | 3 Semester (Vollzeit)
Maschinenbau Regenerative Energietechnik,Hochschule Stralsund, Stralsund,Master of Engineering (M. Eng.) | 3 Semester (Vollzeit)
Maschinenbau-Entwicklung,Hochschule Hannover, Hannover,Master of Engineering | 3 Semester (Vollzeit)
Maschinenbau/Verfahrens- und Energietechnik,"Hochschule Wismar - University of Applied Sciences: Technology, Business and Design", Wismar,Master of Engineering | 3 Semester (Vollzeit)
Maschinenbautechnik,Bergische Universität Wuppertal, Wuppertal,Lehramt an Berufskollegs | 4 Semester (Vollzeit) | Lehramt
Maschinenbautechnik,Fachhochschule Münster, Münster | Steinfurt,Master of Education (Lehramt an Berufskollegs) | 4 Semester (Vollzeit) | Lehramt
